a,b,c
274,66,176
961,89,295
367,49,774
471,15,856
145,60,701
4,70,411
816,59,918
322,47,54
970,37,319
402,40,325
766,49,522
982,10,869
776,85,249
451,78,688
543,94,66
793,90,882
885,23,46
637,94,487
163,21,447
439,36,229
45,88,844
814,94,287
318,42,679
237,37,614
13,100,557
339,54,960
791,59,185
890,70,694
936,51,604
222,56,262
447,97,965
343,26,74
986,43,878
207,63,250
203,43,951
949,8,789
45,81,583
746,9,541
77,14,123
197,62,996
546,71,9
938,64,192
426,65,889
118,71,140
601,1,91
52,92,189
433,5,632
709,65,830
419,31,580
912,65,173
116,29,945
544,66,575
675,11,720
187,64,949
995,82,802
124,72,674
670,66,166
163,32,54
128,29,161
379,10,365
985,42,3
608,30,748
529,43,988
727,81,475
558,10,985
581,28,57
195,34,580
763,84,419
198,89,8
694,14,339
630,97,605
250,35,42
793,79,226
600,11,901
777,63,471
805,56,584
238,49,91
815,66,990
427,89,693
264,64,959
226,1,816
268,100,919
763,1,453
69,14,798
95,99,992
385,40,192
89,65,896
937,26,477
227,46,207
643,52,927
417,44,528
750,88,321
555,10,462
107,97,305
485,62,587
369,73,69
972,15,357
878,1,306
220,22,741
145,35,40
615,42,254
746,35,456
25,79,469
584,51,625
322,76,430
314,53,316
153,45,815
737,25,249
696,15,107
474,66,936
180,14,723
6,90,442
385,57,483
684,55,885
925,43,710
211,35,524
314,71,140
866,85,148
88,89,487
240,76,3
784,20,437
328,26,400
111,61,648
171,10,448
910,26,295
783,74,800
2,53,618
556,40,225
16,25,181
839,27,324
428,3,712
254,65,620
550,61,943
907,75,804
476,81,230
909,82,576
111,31,718
12,64,451
738,86,731
906,22,302
7,18,949
875,28,250
355,99,207
645,77,669
278,70,523
102,54,716
338,70,856
654,57,453
416,60,974
168,36,810
595,17,456
751,96,877
163,14,729
799,70,146
619,44,134
268,81,417
378,54,252
71,10,614
308,99,888
462,5,482
684,22,974
780,19,904
333,22,548
184,51,103
308,22,863
341,24,912
148,61,705
852,96,522
84,99,310
499,35,44
343,43,97
391,14,266
598,3,904
571,41,826
526,67,481
757,84,458
281,78,283
732,43,172
827,1,891
408,54,159
36,55,263
507,13,738
791,46,133
943,62,459
41,32,737
190,5,399
432,17,962
83,12,702
254,43,259
207,55,786
624,31,575
158,96,673
626,90,739
634,84,86
193,88,7
414,32,333
248,46,232
718,23,904
566,35,954
187,68,227
386,34,388
40,71,460
418,3,577
254,91,305
794,16,154
616,19,893
383,79,151
435,94,646
916,26,556
508,47,52
939,72,618
47,48,143
682,56,477
248,19,367
657,12,195
286,95,254
121,77,622
315,99,105
621,86,974
346,19,93
684,43,779
357,1,117
558,52,648
446,91,948
798,88,249
91,42,586
470,72,271
405,73,781
981,56,649
608,79,774
861,37,225
411,23,157
865,9,534
545,11,922
532,22,390
265,79,329
15,69,465
799,83,908
673,96,531
226,86,960
301,67,757
861,19,106
702,57,526
331,5,928
293,59,571
493,62,395
971,37,905
510,54,451
28,14,736
244,20,632
119,41,684
24,74,242
188,84,528
418,70,215
384,45,487
712,71,465
359,4,619
75,26,257
634,44,840
377,79,711
5,25,364
896,92,587
548,98,155
50,2,594
440,71,49
293,99,680
390,77,323
602,7,932
145,6,548
718,58,624
333,36,900
262,10,166
456,94,314
536,69,907
897,65,410
599,67,500
400,97,516
353,74,919
393,6,860
655,71,52
650,63,328
394,6,263
857,42,210
240,28,576
508,31,833
279,3,570
77,57,221
705,12,463
183,28,501
435,74,303
957,57,408
523,17,206
350,2,278
54,67,806
508,27,817
918,4,853
625,14,187
536,27,667
790,46,470
51,68,798
964,66,97
838,36,41
840,25,255
367,51,446
469,52,569
608,64,550
370,31,115
999,92,157
661,44,372
680,33,209
451,20,300
990,17,917
593,34,640
396,94,170
49,32,765
404,20,979
675,74,47
620,40,892
732,85,695
366,38,334
657,11,37
727,63,52
288,66,501
137,68,856
230,53,269
331,100,811
420,28,832
280,68,872
916,74,2
443,12,709
895,88,480
8,11,172
288,32,563
778,3,482
105,90,122
708,13,235
344,30,917
639,1,889
713,46,225
253,4,572
879,50,221
431,40,553
431,69,986
321,24,136
720,10,764
439,49,200
939,21,529
649,75,538
381,39,41
177,72,257
127,33,911
576,93,697
45,60,143
978,3,559
332,87,438
539,49,277
175,53,803
546,33,562
786,34,805
563,18,906
757,88,713
381,63,35
821,17,124
309,67,572
1000,92,5
912,25,177
284,98,408
959,84,420
854,63,71
257,71,489
23,100,595
157,7,299
194,70,441
147,69,849
79,13,741
391,94,865
619,40,119
422,40,333
341,31,15
341,96,261
987,44,637
525,75,143
169,65,494
4,41,232
825,9,106
627,16,726
945,17,926
4,77,239
260,76,317
627,43,456
938,8,972
863,19,498
529,45,249
843,67,869
879,30,25
561,77,431
297,77,460
329,52,949
457,45,699
994,12,807
507,83,588
960,70,470
729,29,158
843,57,519
623,61,340
635,100,74
811,73,911
285,91,226
869,99,410
361,4,497
745,76,998
430,27,82
844,56,355
593,92,405
608,24,900
223,39,198
521,54,41
985,53,32
239,17,505
26,72,8
116,20,151
628,13,660
161,16,753
445,79,836
567,17,8
111,68,963
407,8,308
252,84,603
123,31,63
76,1,477
704,100,281
231,72,793
243,41,297
415,19,971
903,90,449
53,41,208
506,6,188
723,25,111
400,53,713
845,44,444
866,38,777
800,31,365
212,93,527
601,68,408
742,96,738
943,42,552
577,59,860
351,64,694
573,100,827
920,92,284
108,33,201
372,29,276
662,22,279
971,77,665
300,80,835
115,8,894
211,80,709
601,92,481
24,36,130
593,56,484
27,26,427
677,27,515
507,3,208
30,89,75
532,93,814
769,25,949
352,11,616
628,39,405
462,55,107
735,17,95
322,48,159
543,65,186
665,36,88
856,57,575
669,5,360
619,4,976
407,17,670
482,46,554
136,42,471
444,46,659
349,57,964
878,19,476
94,73,849
777,67,955
111,5,310
959,38,637
214,70,614
122,33,872
413,18,500
426,74,509
971,63,567
674,96,378
819,42,710
406,99,572
455,23,909
648,96,286
605,10,366
694,51,54
508,30,68
917,41,162
803,1,571
797,77,190
778,59,1
739,13,941
683,97,23
124,87,18
697,78,633
240,52,233
750,98,162
613,44,586
256,61,567
284,59,55
117,55,782
31,39,334
314,28,760
91,53,118
971,99,643
134,20,520
393,34,257
759,81,273
596,46,219
882,8,536
253,74,381
990,57,745
443,32,814
154,10,758
237,36,914
897,45,512
821,82,644
652,44,626
395,65,655
937,35,575
638,32,267
476,48,918
619,83,616
204,54,292
752,99,471
716,5,855
834,28,263
252,75,107
233,11,254
667,6,908
151,4,839
222,52,656
99,44,918
913,41,406
631,98,959
392,9,908
615,31,577
852,34,477
842,79,967
964,22,432
303,71,199
943,49,71
657,4,7
679,14,980
920,2,483
148,70,469
266,67,16
378,23,865
574,18,277
983,48,180
715,57,246
449,49,826
739,76,647
287,4,306
716,92,957
896,47,408
726,65,612
72,17,580
630,59,608
882,40,838
337,35,449
426,5,238
852,8,637
841,45,303
803,64,355
63,95,745
838,1,109
48,41,60
94,77,850
102,62,638
604,56,171
939,86,967
112,52,260
872,19,453
809,32,618
412,64,977
816,76,76
177,20,838
672,59,444
157,86,913
53,76,873
334,90,795
282,42,896
454,57,784
920,5,695
584,2,430
864,77,689
997,40,295
107,71,713
676,58,181
72,10,62
36,61,572
929,18,785
888,52,249
896,93,758
696,15,256
715,57,473
117,42,857
327,44,134
488,42,351
672,45,65
888,8,923
276,47,331
900,17,427
623,52,386
632,2,584
188,94,251
276,85,837
710,38,318
125,94,690
752,81,835
587,35,796
179,59,638
422,96,534
190,13,441
985,93,523
460,99,727
892,8,434
702,18,508
623,47,552
653,33,467
445,32,948
157,54,77
189,76,739
621,9,55
548,58,432
703,5,193
959,9,446
773,1,301
314,22,699
471,46,939
251,38,785
547,61,912
987,29,773
276,96,969
231,40,546
260,80,867
649,76,932
989,31,895
309,10,709
18,98,35
531,16,356
977,50,922
321,31,787
771,84,739
44,55,718
140,66,165
581,9,972
345,14,892
58,35,518
686,98,311
705,30,999
530,9,922
961,8,822
627,96,97
116,16,313
74,27,408
967,28,921
760,100,69
660,40,215
90,64,296
54,21,42
941,7,361
764,33,10
81,49,378
81,41,619
207,49,854
911,4,536
471,39,359
369,42,133
337,90,236
422,94,80
136,82,856
45,77,409
302,55,68
731,4,429
332,71,94
205,84,799
425,56,744
662,69,740
914,3,807
879,70,879
300,11,984
898,30,171
697,86,417
914,95,312
567,64,733
973,73,814
103,91,561
51,59,388
75,31,885
723,58,3
11,45,627
102,78,936
703,42,977
929,69,583
284,90,95
866,10,599
469,3,416
462,63,765
447,37,551
890,48,454
98,86,553
20,63,467
947,48,528
641,6,440
635,24,35
365,70,180
340,19,483
545,48,829
123,13,934
925,90,683
874,74,503
458,72,197
834,60,842
655,21,245
945,84,418
805,70,379
785,78,813
211,33,381
629,80,362
370,72,519
83,81,194
724,28,724
930,29,802
226,75,813
563,74,328
838,42,837
317,88,476
173,36,675
363,50,73
70,34,751
914,50,158
609,89,559
723,10,576
631,11,476
774,71,864
44,68,433
179,76,568
489,89,778
794,65,918
154,97,944
324,29,920
733,36,209
329,61,241
638,84,459
27,32,513
50,99,499
684,3,475
289,45,615
363,90,706
45,14,779
833,10,134
495,90,645
991,24,978
367,74,111
286,16,367
585,14,79
677,10,369
18,100,29
98,13,161
497,78,538
470,39,302
681,55,715
406,9,346
964,46,325
174,51,340
729,41,268
625,6,929
932,15,392
646,35,999
659,6,957
19,78,409
955,92,331
33,66,695
365,15,581
152,26,808
125,76,730
769,59,193
727,68,450
537,27,246
891,49,307
891,100,119
313,63,975
58,41,424
346,47,64
207,37,353
89,31,736
196,75,301
459,34,120
181,76,746
936,39,258
539,100,159
500,21,950
997,5,580
821,52,802
837,88,48
967,62,830
712,9,866
13,98,209
742,37,887
808,16,810
530,65,579
304,90,364
720,20,31
983,98,575
914,89,816
618,63,491
959,92,365
914,86,414
4,85,227
274,59,795
160,65,626
520,73,517
178,35,316
148,54,371
234,35,143
427,11,662
858,99,373
429,46,298
167,29,476
277,85,546
495,28,761
203,28,504
699,12,810
770,42,612
403,2,408
792,21,501
353,57,853
450,72,199
601,65,128
26,84,393
78,98,565
411,90,237
616,100,12
794,52,987
931,86,156
780,78,541
196,46,871
301,78,758
253,92,985
282,88,122
754,37,507
709,33,659
548,47,146
237,62,289
106,21,78
42,24,576
312,99,302
659,36,326
103,80,415
824,15,925
512,30,711
604,65,78
859,25,400
518,61,391
118,3,630
89,86,219
614,58,628
896,81,861
557,10,156
851,42,600
427,37,964
570,62,719
587,86,405
629,11,202
34,59,995
47,80,263
394,83,673
391,86,351
195,5,1
215,43,916
385,2,399
961,12,638
516,76,344
944,48,269
612,60,914
245,83,100
464,74,44
523,2,997
1,7,811
470,88,119
678,9,294
538,21,106
862,75,132
71,100,877
920,71,369
512,96,62
433,17,244
748,2,628
758,55,918
326,20,412
729,11,144
640,87,279
811,73,349
671,55,135
382,49,662
565,50,824
724,54,514
48,95,368
315,21,988
35,31,447
883,27,483
279,17,55
956,84,178
799,70,403
596,80,31
570,89,950
72,32,57
10,56,174
143,83,596
391,38,601
950,23,767
109,10,983
89,86,606
636,23,831
125,36,447
690,4,670
346,99,832
788,3,14
24,57,482
620,24,997
584,12,24
909,34,383
523,83,783
399,49,201
919,68,563
254,63,955
233,85,673
821,83,585
382,21,546
50,30,556
499,79,313
490,68,125
713,74,925
390,70,708
293,86,885
310,6,754
554,87,437
486,85,728
927,59,73
298,60,815
538,84,740
668,10,795
89,56,761
832,63,999
314,66,883
461,62,534
644,97,669
602,49,929
684,37,460
102,30,254
889,28,410
449,6,306
855,60,366
427,45,397
650,50,215
252,63,538
946,48,946
341,8,956
847,1,708
181,65,240
869,1,217
375,44,577
192,83,247
223,49,723
870,44,596
95,46,128
79,52,271
476,6,389
175,4,893
886,75,358
859,79,540
597,3,619
329,30,681
378,73,497
559,46,446
447,22,122
119,28,818
832,89,961
463,89,47
893,5,841
365,47,283
205,20,104
463,52,770
961,93,200
464,84,717
960,24,409
227,51,709
951,51,76
954,38,710
32,72,545
391,6,92
903,74,55
374,92,170
776,95,708
423,58,756
245,76,374
740,53,5
172,92,857
235,75,141
715,80,215
330,66,246
339,50,650
894,67,860
637,83,160
846,42,997
88,28,452
876,55,744
932,82,603
225,71,133
869,36,590
411,72,395
149,33,46
566,82,59
628,77,871
216,11,789
31,6,908
298,70,421
262,18,758
426,95,472
324,21,465
227,89,482
78,71,94
606,51,77
861,24,778
645,33,823
620,46,839
887,70,284
979,36,778
831,68,901
874,74,705
445,73,660
372,17,550
598,49,887
15,27,258
652,82,108
896,25,450
438,35,168
320,83,315
11,82,833
965,29,38
152,99,961
393,15,719
639,100,715
429,15,803
951,20,954
27,2,640
951,41,727
63,84,529
263,81,73
631,83,734
307,32,687
751,65,460
568,35,599
260,81,901
866,75,66
803,36,38
811,49,93
906,14,621
417,4,950
41,82,530
368,49,630
879,23,142
433,11,119
122,88,939
531,7,188
390,95,162
13,3,813
836,37,346
85,95,373
948,72,17
286,18,111
378,3,891
905,35,554
300,90,77
265,21,103
275,7,926
846,53,785
779,94,542
214,83,947
87,4,462
532,93,449
605,51,457
488,78,306
12,51,31
9,63,328
73,18,685
289,32,45
174,59,898
857,25,34
630,91,294
75,57,78
716,34,209
307,100,184
195,21,701
644,56,350
884,67,205
85,61,328
690,90,512
149,9,607
148,4,992
53,31,83
530,26,690
349,89,253
808,94,353
206,34,505
150,32,359
353,46,727
290,11,117
197,95,448
632,60,976
340,78,152
876,28,137
409,73,425
805,7,722
830,6,889
459,90,759
432,72,716
542,91,659
364,25,38
556,36,85
847,63,176
151,66,302
1,36,141
444,48,569
251,87,194
293,41,125
605,13,788
650,86,107
280,66,39
455,2,591
145,44,858
309,47,315
607,34,199
474,59,66
772,70,127
714,6,524
10,17,860
743,4,121
242,95,124
359,100,383
959,4,618
692,74,204
771,2,764
153,94,992
36,90,980
517,86,692
904,28,313
798,48,312
99,64,714
390,79,846
800,48,281
594,47,298
884,87,324
585,61,661
8,36,708
186,90,651
936,27,639
566,60,22
479,20,684
860,40,584
447,84,322
558,59,271
712,17,402
500,95,841
193,88,280
707,62,912
567,85,385
481,98,508
168,95,219
668,12,717
252,75,536
961,29,873
871,15,315
62,49,125
207,85,894
84,59,13
891,69,699
312,52,387
315,11,390
827,2,40
74,85,864
709,27,227
740,5,500
62,48,40
415,20,622
557,72,995
94,91,90
34,85,973
636,34,345
722,60,25
82,87,253
25,21,697
537,24,921
321,51,971
832,83,910
929,22,137
579,66,479
6,51,707
572,86,35
155,92,809
238,50,771
987,71,556
350,96,750
811,49,443
12,53,398
516,61,986
511,90,781
395,93,475
948,86,27
841,6,348
998,96,289
268,93,302
704,31,952
180,43,958
582,70,926
651,71,73
725,12,979
915,90,561
12,61,67
88,36,150
57,3,173
380,21,470
512,99,324
458,66,406
749,78,792
94,16,576
153,33,704
400,91,972
969,44,398
334,47,163
846,45,783
615,75,628
368,100,911
872,58,838
611,63,657
358,6,883
851,27,899
460,22,462
473,35,760
615,64,927
401,63,591
571,46,652
809,85,217
418,90,221
256,42,59
186,44,113
446,54,243
128,15,879
874,3,675
268,61,91
254,3,435
57,88,416
680,86,216
466,81,361
483,23,294
550,4,157
627,21,407
257,59,646
945,63,255
811,53,828
604,18,32
397,45,669
305,97,851
905,18,972
366,11,912
552,60,587
606,52,361
968,40,966
510,66,299
263,71,647
217,26,18
477,61,458
77,68,35
409,89,243
744,97,956
36,14,781
763,82,188
70,50,8
797,37,325
983,44,487
347,46,316
740,78,985
430,4,303
117,53,480
573,42,947
11,85,390
64,13,976
280,36,707
729,60,374
845,37,19
907,1,286
795,40,851
477,32,362
470,38,992
678,35,244
765,85,720
911,72,225
270,92,903
345,77,652
656,70,180
957,74,668
195,22,298
91,47,865
980,52,410
404,78,100
334,29,444
264,34,27
448,21,536
376,89,877
700,21,238
622,3,19
133,22,541
789,13,173
603,62,655
748,13,929
108,3,960
464,83,455
156,94,331
405,39,267
726,71,402
524,95,811
264,22,446
441,92,271
115,78,64
779,14,963
427,92,380
959,33,685
334,98,912
873,9,648
35,17,374
67,15,201
998,88,930
622,32,866
689,51,434
550,15,500
502,32,648
840,10,212
400,89,300
333,70,148
954,66,883
874,82,900
138,74,433
987,88,573
46,97,763
555,58,260
119,5,537
16,19,615
859,70,909
583,47,390
828,76,919
622,45,847
120,33,496
337,51,715
910,15,166
441,30,564
26,39,48
580,32,51
159,92,520
104,58,40
57,90,874
130,92,525
862,62,178
994,55,220
524,95,260
389,64,924
905,79,259
972,62,33
674,95,968
155,65,210
44,79,424
738,16,179
75,79,763
340,73,853
343,65,237
644,22,349
306,87,62
428,19,591
921,4,365
798,100,498
932,70,369
265,82,66
722,72,357
794,96,356
515,43,421
331,94,517
501,88,543
119,8,681
106,61,420
413,50,528
937,1,424
56,75,566
574,91,886
221,76,75
836,94,694
960,42,949
973,86,69
70,85,242
27,74,587
933,99,283
923,39,55
701,40,202
731,83,575
69,38,529
15,85,157
122,91,106
774,88,935
985,52,943
831,60,452
75,88,255
350,14,741
900,15,436
647,96,663
226,99,825
948,59,732
826,69,84
705,9,178
625,14,548
877,11,443
213,99,961
549,21,311
622,47,830
317,65,209
673,41,549
888,40,612
566,90,795
752,10,402
718,75,265
103,7,271
236,42,465
310,56,601
274,23,946
787,23,520
743,21,918
231,52,977
958,60,482
910,6,505
228,83,878
422,40,386
552,5,27
639,69,266
169,30,501
740,21,794
938,56,895
994,38,929
814,6,104
199,6,910
514,46,179
776,67,359
582,42,506
52,91,34
527,69,559
533,89,726
913,47,33
472,21,17
798,55,338
88,32,870
511,28,515
305,83,645
483,47,554
815,84,295
929,33,22
417,95,758
468,61,158
316,8,437
406,50,785
24,34,460
373,7,44
12,86,454
642,16,105
209,29,511
244,38,267
756,53,893
750,6,665
836,15,9
250,55,675
811,75,796
293,80,608
377,79,556
616,48,703
794,50,641
65,15,539
445,73,870
53,21,300
84,93,229
778,86,147
236,84,663
352,92,399
17,55,44
515,73,735
53,40,475
127,67,642
323,10,999
558,85,713
892,42,288
383,83,596
256,50,832
303,40,100
797,7,237
490,5,805
989,56,282
703,61,999
838,39,316
32,60,324
318,3,980
76,85,637
105,69,847
594,10,874
460,1,839
640,70,991
509,58,432
980,43,542
407,4,702
254,84,165
289,94,199
961,17,359
332,73,524
784,75,752
944,51,767
282,22,893
95,59,795
314,5,550
886,38,541
377,44,226
219,76,458
5,11,994
757,49,604
162,79,296
871,3,123
394,61,567
871,84,705
891,44,709
121,31,737
782,84,193
575,44,790
230,85,77
514,22,497
583,65,446
92,77,550
388,78,49
868,32,830
376,83,333
818,97,66
682,58,198
728,42,140
591,19,910
770,87,465
515,97,612
99,61,39
3,13,266
109,83,874
372,64,838
960,99,595
312,40,720
885,5,853
745,39,305
628,54,992
733,83,694
319,72,522
600,9,667
357,85,968
439,80,193
527,82,752
636,31,943
583,97,401
596,53,870
798,89,541
840,76,267
828,5,42
577,9,976
831,73,402
331,24,492
869,65,88
107,49,632
922,35,417
721,8,497
623,82,693
336,17,340
774,78,421
669,33,788
379,73,782
198,29,526
352,53,467
742,56,553
892,5,970
508,96,889
537,37,686
975,36,201
109,2,540
597,92,668
557,97,691
169,81,696
398,39,28
979,82,682
721,32,255
100,19,918
122,20,741
976,79,415
765,14,762
331,24,481
774,77,731
474,89,585
664,68,580
318,54,416
375,15,578
514,69,275
293,30,791
977,96,71
967,12,925
439,43,764
544,23,720
632,88,970
74,22,400
427,53,937
341,58,355
904,78,552
376,76,841
814,37,942
516,32,606
229,30,35
811,51,695
411,57,494
374,22,816
295,50,449
805,83,510
360,35,274
970,4,456
36,52,44
361,26,948
541,35,928
397,65,160
844,28,890
688,23,279
69,56,689
8,94,200
603,41,168
914,1,474
770,59,262
539,46,175
133,52,577
12,44,850
303,88,863
555,31,380
3,61,642
258,14,971
175,82,621
619,25,663
870,16,938
840,93,790
866,94,506
865,72,873
417,99,663
394,57,613
224,60,328
913,50,30
641,79,963
97,100,182
926,68,189
242,85,180
658,25,478
862,83,807
373,95,563
183,7,254
727,95,827
416,97,710
330,12,577
932,11,893
341,27,794
116,87,386
983,87,387
66,19,155
669,53,556
678,50,725
233,33,3
347,44,52
916,41,978
571,52,456
148,31,730
266,49,330
751,62,527
429,90,474
204,53,35
214,4,859
171,78,964
797,2,956
161,88,265
195,65,730
270,47,154
950,30,216
861,39,71
533,24,405
88,3,961
960,14,136
705,57,545
410,57,550
297,34,977
692,30,115
573,33,534
165,16,156
140,46,605
178,26,930
135,77,362
874,13,407
302,22,834
633,82,725
63,53,735
371,61,109
369,61,946
244,95,957
471,26,849
571,92,227
123,74,144
867,53,887
832,60,885
922,60,56
104,68,960
242,25,353
859,56,663
716,85,122
279,36,643
412,23,516
598,27,56
459,16,44
610,93,479
724,6,39
53,97,85
599,81,575
61,58,992
918,88,198
267,34,494
675,82,709
321,9,501
734,47,648
454,72,188
634,9,238
608,8,201
951,24,861
957,69,62
954,33,359
130,27,981
330,54,370
796,51,855
774,91,406
110,46,280
291,54,386
512,23,754
9,37,422
147,17,713
230,19,341
493,47,176
745,75,520
891,48,251
11,4,897
359,32,95
931,20,285
761,11,387
360,25,243
132,20,629
33,43,814
960,49,258
559,27,122
911,38,549
210,41,463
861,40,433
531,87,474
904,4,176
933,9,987
928,4,49
216,44,813
376,46,371
577,83,425
950,5,532
537,80,61
718,39,528
731,28,481
123,2,967
240,58,157
145,46,810
484,74,827
920,44,294
162,16,224
862,17,286
33,43,343
421,87,71
239,6,616
191,3,959
900,40,852
286,85,545
758,68,911
92,88,682
744,43,360
743,56,339
80,74,98
949,29,910
884,43,941
951,28,391
903,29,359
501,84,902
965,76,228
691,10,209
80,66,18
934,98,252
855,63,89
714,99,796
249,47,179
433,23,631
281,50,914
406,70,925
520,27,654
908,70,860
61,46,340
734,38,301
185,67,821
893,84,12
804,93,866
753,41,324
484,14,39
183,35,487
29,5,405
432,92,952
903,81,204
423,43,360
229,38,715
489,90,990
161,77,375
710,66,161
442,75,747
806,100,636
904,37,960
532,100,171
795,89,923
376,22,165
506,14,590
607,91,382
723,19,889
161,46,241
288,43,535
977,93,636
868,70,116
17,50,59
276,29,614
912,96,772
889,91,473
187,60,146
920,69,873
843,10,998
585,44,852
575,11,508
791,8,78
238,93,660
754,11,111
724,35,737
804,66,684
735,68,696
58,5,918
698,64,670
445,2,763
168,47,542
304,66,809
772,15,215
641,79,919
634,58,237
394,51,183
385,34,359
562,55,214
512,94,53
409,79,193
524,24,116
4,69,5
498,12,898
480,51,455
846,100,429
397,60,493
275,92,54
254,88,740
596,12,110
635,64,727
874,65,11
973,10,233
586,9,638
573,10,521
453,97,787
614,41,408
67,97,150
51,2,403
992,65,278
147,53,690
957,11,204
548,21,548
920,54,536
204,10,587
774,12,324
237,5,579
272,45,234
897,78,544
912,97,318
314,57,814
772,16,327
363,82,317
710,99,839
960,33,609
129,84,161
136,24,620
318,3,443
827,28,921
23,23,732
412,64,58
123,59,590
948,16,712
107,96,201
996,59,878
14,77,533
210,42,960
803,87,155
696,77,868
392,74,830
218,91,356
246,18,506
806,75,560
680,81,366
833,1,594
754,67,139
672,71,86
730,84,178
249,15,863
57,13,233
42,78,730
387,21,133
144,21,978
270,71,257
442,57,775
349,15,203
489,5,329
484,14,399
370,67,573
658,57,619
192,6,425
122,3,342
765,77,730
821,11,652
415,97,864
223,49,815
784,55,62
911,64,283
339,64,933
217,95,110
65,88,205
581,31,29
581,31,493
583,22,109
852,57,488
242,50,216
785,59,273
988,94,445
378,80,314
196,75,392
755,38,258
986,39,738
793,27,284
282,55,938
557,42,464
808,26,868
995,35,11
670,3,55
490,33,923
247,52,761
228,14,42
42,73,819
963,5,59
981,20,458
91,45,800
692,22,631
67,24,731
781,58,174
96,26,709
716,27,313
358,36,856
532,44,323
484,82,456
980,18,898
793,33,399
610,22,466
921,9,177
854,17,528
49,65,990
652,61,269
978,98,32
541,1,277
256,91,767
719,2,812
440,21,800
706,12,357
340,77,201
255,54,653
99,73,605
717,66,628
463,14,325
317,66,761
859,52,213
