a,b,c
103,10,778
372,17,836
445,20,242
564,67,421
960,70,607
895,23,557
650,2,876
45,11,996
129,44,202
150,1,922
318,62,624
522,11,616
928,97,301
98,94,245
889,62,667
526,87,35
457,72,692
767,63,529
658,48,719
252,40,442
969,78,662
501,80,299
272,91,876
512,69,223
56,39,826
763,80,628
988,33,413
412,90,638
836,59,801
107,60,66
736,40,688
48,7,412
334,75,374
728,19,744
254,47,737
516,51,863
223,87,657
517,44,292
564,53,397
508,15,735
674,21,976
513,32,512
871,50,163
911,2,268
326,38,241
674,72,690
873,12,71
463,50,242
273,18,445
892,5,95
731,14,217
507,73,41
285,85,34
997,48,247
539,61,819
592,32,239
732,13,877
471,48,934
802,100,700
524,86,918
908,19,961
523,42,53
676,54,213
369,20,281
716,11,100
723,1,354
720,31,344
127,7,871
103,51,629
125,8,1
599,74,707
861,66,536
203,41,880
596,43,686
375,92,765
602,2,224
196,93,485
985,22,208
226,87,820
470,86,316
432,24,729
308,70,24
812,14,719
360,67,409
243,1,389
861,92,382
70,51,593
861,39,23
842,62,908
67,89,617
291,44,146
57,53,104
72,25,319
952,5,643
479,7,148
583,6,766
316,45,704
433,97,300
181,9,967
317,24,374
777,35,765
917,47,69
141,70,640
609,50,852
513,25,237
894,51,953
526,92,107
653,22,273
628,27,533
673,83,274
367,72,296
149,41,285
401,79,204
928,20,148
686,83,255
498,2,418
816,7,954
919,20,980
851,18,455
681,92,897
14,2,249
631,14,897
2,73,640
888,34,576
454,49,103
103,96,846
702,59,433
351,11,912
403,38,474
499,7,458
611,32,827
603,49,718
884,70,406
854,77,81
295,99,732
578,96,136
124,93,574
205,40,115
761,8,613
234,30,790
146,36,640
779,25,876
911,41,129
940,52,883
990,27,494
600,30,450
104,14,606
746,4,108
651,66,72
209,54,174
921,57,177
427,78,849
844,21,174
45,28,937
524,40,820
674,81,735
552,95,163
159,16,561
367,77,486
709,42,758
515,42,548
986,38,789
256,16,264
914,90,908
254,75,109
873,68,720
331,62,936
941,27,857
306,14,787
118,23,258
654,24,611
587,93,550
147,35,524
914,85,895
709,53,858
425,81,999
18,81,850
955,70,53
325,52,538
742,38,662
696,56,949
824,10,218
506,59,904
437,89,770
56,53,895
709,36,317
695,61,682
836,51,72
731,1,70
54,1,329
381,28,959
962,72,162
761,26,14
330,65,404
739,61,121
691,87,859
852,12,643
624,15,966
457,81,806
555,76,395
765,7,313
654,39,271
947,85,455
700,13,404
109,72,498
260,50,735
780,81,624
524,96,66
257,27,77
45,73,234
251,79,177
308,45,470
941,95,933
782,77,751
879,83,969
380,29,192
977,45,904
749,14,271
276,61,761
383,79,910
850,11,828
136,98,887
201,21,482
504,93,499
281,72,939
516,44,133
164,70,970
957,66,293
912,22,682
586,1,924
980,19,8
290,99,868
774,31,330
227,95,677
53,99,480
634,62,468
773,50,326
295,54,671
283,51,868
311,63,642
514,44,799
408,87,890
518,68,436
715,1,680
617,1,479
725,15,2
658,82,948
382,11,336
369,82,472
207,29,504
719,56,699
779,52,648
89,20,777
245,70,83
31,89,785
621,30,304
569,20,102
890,56,554
251,84,146
132,82,547
442,9,342
204,68,210
68,61,707
894,92,618
83,93,512
271,56,385
520,51,802
619,40,868
876,67,378
517,88,859
38,31,56
946,86,860
686,73,676
454,91,323
725,81,866
411,43,137
751,48,776
930,12,50
918,73,997
476,73,817
477,98,565
997,75,613
518,55,932
288,50,495
253,23,627
251,75,402
604,65,967
13,75,519
753,18,210
925,69,778
525,1,512
951,51,904
290,64,286
509,10,203
136,15,161
146,33,444
153,3,461
474,1,7
20,72,661
880,31,431
260,54,382
883,12,45
254,18,854
105,22,695
693,74,268
926,66,749
261,75,572
735,70,530
133,55,100
76,60,810
673,12,269
633,43,106
422,94,548
135,45,204
849,70,285
88,35,857
586,67,540
479,10,970
290,83,706
702,22,203
465,39,277
979,45,209
695,51,44
793,82,782
931,65,237
494,61,475
127,55,391
7,43,731
9,99,880
540,5,635
269,71,45
650,76,674
520,25,652
753,24,81
571,28,305
225,79,344
601,46,107
885,19,569
486,64,473
770,33,982
146,33,623
622,58,106
123,84,354
1000,49,288
942,91,487
95,13,983
332,22,206
117,50,516
975,80,117
820,19,289
675,77,150
150,61,838
861,87,433
801,11,926
324,30,248
672,57,125
822,85,466
465,46,49
859,10,855
888,12,764
863,89,660
535,74,87
184,62,811
260,69,81
735,15,162
706,15,934
201,37,263
184,22,770
324,7,211
514,91,954
462,90,858
768,33,757
999,33,832
173,40,526
591,58,554
795,74,275
632,55,934
969,26,270
589,23,24
851,60,187
197,72,204
67,74,340
890,37,718
878,97,279
471,21,931
380,30,684
718,66,773
651,32,782
232,95,515
989,48,517
386,25,425
833,92,897
949,57,637
972,12,239
643,34,605
948,51,698
454,98,848
565,42,656
264,95,229
818,16,833
763,67,351
121,87,831
412,62,877
508,80,913
795,16,984
153,46,771
866,33,315
625,9,712
474,57,94
322,53,244
1000,67,952
784,51,673
120,24,956
639,32,642
679,30,178
852,61,390
41,55,576
941,74,219
894,70,798
194,39,588
555,19,4
998,92,209
574,19,669
258,29,579
879,27,917
808,75,260
131,74,661
11,33,565
992,35,764
11,63,93
605,4,96
880,95,895
119,61,76
710,5,960
68,54,446
155,72,117
729,56,376
29,75,233
507,73,151
85,18,228
177,15,649
831,23,492
545,51,338
621,86,623
145,55,523
106,2,629
698,3,534
647,6,621
573,47,768
419,6,427
559,63,880
51,15,506
388,33,220
161,36,388
190,15,849
968,22,883
978,14,645
626,52,380
589,20,545
106,12,949
809,4,532
711,55,234
512,61,79
215,57,15
796,89,977
529,67,581
489,2,449
197,22,571
114,25,45
732,97,372
795,80,796
559,37,715
828,94,438
631,44,710
193,5,703
878,85,684
915,38,591
548,25,112
427,5,912
367,56,985
944,46,857
616,12,3
847,55,449
782,33,620
889,31,146
2,23,133
741,66,493
731,27,23
57,94,980
692,69,857
266,40,738
539,84,700
801,76,734
322,4,927
170,37,135
709,90,893
958,23,35
973,10,698
583,70,450
297,80,854
630,43,894
143,26,100
155,50,920
70,5,551
457,69,210
668,27,723
580,64,35
378,40,338
833,8,853
111,66,851
418,39,241
959,8,467
760,91,844
899,51,908
933,53,978
275,56,200
846,84,283
813,99,508
737,83,87
232,58,93
506,16,505
984,22,889
100,52,150
522,36,66
460,42,866
700,25,599
439,6,498
515,58,993
693,23,129
9,44,855
820,74,116
520,30,348
547,63,797
847,12,929
830,48,124
849,51,468
698,49,675
108,19,261
23,70,586
296,36,770
559,5,776
944,3,404
394,88,104
116,24,709
754,68,214
705,25,125
374,4,617
942,13,575
303,53,55
90,79,347
729,8,484
390,22,492
459,77,268
929,31,891
260,92,481
144,24,830
176,62,340
516,51,181
504,98,10
593,66,938
280,93,838
806,16,517
348,84,976
316,56,816
932,39,968
12,48,825
436,70,617
348,39,628
504,19,865
165,9,421
772,5,526
536,11,806
180,26,713
555,45,763
354,94,505
198,27,996
439,63,27
712,95,251
525,78,111
848,17,718
630,13,497
709,1,638
77,63,10
122,13,310
47,22,813
469,70,337
608,63,533
882,17,96
568,39,155
186,61,910
179,6,898
786,84,661
166,69,451
562,71,800
202,95,938
653,5,640
976,4,690
739,33,507
671,66,251
661,67,309
433,28,337
933,30,200
660,79,717
211,69,751
949,79,532
390,97,461
617,22,511
844,63,912
186,35,243
49,45,405
1,49,970
8,41,93
935,77,338
210,22,131
79,20,366
125,34,271
528,18,409
48,64,165
767,43,528
642,38,96
262,75,592
683,85,86
398,89,483
233,62,488
549,91,62
804,48,375
680,29,939
40,42,873
612,66,190
548,86,634
484,46,187
396,76,569
972,17,462
564,95,23
623,46,622
554,4,342
855,99,212
661,99,950
278,37,490
604,9,891
701,9,973
867,78,649
634,24,709
440,53,310
663,18,54
726,66,257
758,24,210
750,61,126
954,30,136
92,53,997
871,9,322
68,48,417
145,99,32
335,57,305
724,47,42
545,58,238
331,85,864
905,94,548
975,20,646
152,45,919
714,12,313
30,65,430
800,43,814
984,72,984
437,10,534
415,51,132
789,55,746
369,69,647
977,84,808
590,57,424
889,84,285
589,99,268
160,61,298
446,42,21
563,100,244
727,14,206
499,85,920
353,72,442
663,2,70
650,54,747
316,33,990
359,33,758
772,3,46
29,2,977
572,78,138
205,78,465
703,14,833
145,55,958
406,62,949
493,87,578
288,63,613
605,53,898
926,68,624
838,85,408
679,35,28
483,86,555
966,63,204
857,84,890
447,2,415
158,37,641
432,58,637
72,31,301
205,36,26
508,68,128
101,95,754
304,3,882
837,49,844
338,35,697
370,97,990
513,11,434
982,11,531
470,28,905
193,45,281
712,99,610
7,20,726
684,88,886
554,95,876
359,83,440
206,6,862
610,40,727
554,17,454
243,100,888
471,37,773
580,64,551
71,67,852
604,72,587
525,17,341
961,82,678
178,95,535
793,26,736
192,39,107
885,81,365
765,87,567
28,53,469
11,47,721
886,10,935
152,97,31
631,31,601
879,35,526
700,37,553
257,67,265
822,56,775
825,55,859
354,90,418
825,94,860
444,35,456
845,97,604
861,41,556
948,89,63
332,3,403
354,2,987
241,57,993
769,87,454
555,36,817
439,93,603
636,81,199
189,19,952
726,57,465
647,95,417
48,48,291
391,2,547
847,55,828
233,10,629
535,49,601
787,2,519
896,58,502
159,88,348
777,34,365
254,74,688
918,84,408
623,67,931
860,9,62
824,19,748
690,89,87
642,46,879
759,63,613
318,86,42
880,21,92
193,69,241
854,1,489
515,96,396
330,52,28
110,66,557
320,73,908
109,90,456
636,96,212
317,38,278
403,94,48
337,22,374
296,100,761
701,81,377
540,37,207
223,62,64
527,48,910
370,20,576
794,34,473
907,49,955
638,3,36
368,31,778
872,19,279
107,9,821
26,10,259
649,95,257
236,43,828
196,22,306
308,57,603
844,57,935
13,69,281
550,59,79
705,24,688
374,45,440
833,79,584
961,8,993
480,89,727
931,95,533
439,74,395
67,59,586
936,21,670
526,84,791
710,74,231
907,34,449
217,92,52
729,97,670
680,17,442
69,38,499
102,8,125
964,36,88
130,86,642
840,40,327
931,45,665
951,28,487
124,26,266
704,88,702
507,96,374
201,73,705
128,8,92
988,91,179
675,40,864
972,46,528
399,94,599
542,71,10
405,75,820
153,76,535
952,98,434
886,87,332
60,35,683
151,53,353
596,17,883
364,92,277
26,62,259
830,34,815
835,24,233
127,74,934
829,43,185
757,41,565
20,44,582
768,54,920
257,16,139
221,76,167
354,50,830
468,15,54
608,86,678
720,19,334
926,80,265
884,3,37
69,6,82
540,50,101
402,28,75
685,57,958
656,42,719
759,85,836
356,41,19
586,37,364
436,90,225
469,91,334
474,85,764
983,78,872
544,41,525
709,26,706
848,6,520
944,93,859
592,29,183
131,86,617
353,13,598
77,80,873
696,55,331
165,54,402
415,39,53
226,41,635
464,80,186
858,29,850
185,35,587
336,70,179
414,54,833
214,22,797
218,57,104
741,52,985
535,46,5
999,91,493
935,4,469
213,73,253
468,29,722
985,67,889
875,67,638
484,70,468
975,50,112
707,59,653
537,77,226
457,95,25
938,93,666
23,86,488
463,2,703
178,65,409
600,14,524
893,12,810
433,69,217
131,67,246
323,65,93
963,55,386
314,21,167
872,21,765
192,40,947
316,3,644
760,40,177
697,43,613
322,85,204
856,48,817
627,99,181
145,99,816
337,99,452
397,47,105
708,95,763
760,85,220
466,79,1000
49,50,684
443,15,242
171,59,838
362,82,206
942,43,59
13,12,48
595,6,255
130,96,176
455,51,953
742,58,292
57,86,770
332,45,753
325,12,307
821,7,379
825,92,410
740,93,768
697,8,573
769,69,509
705,65,642
547,63,459
701,34,369
803,88,843
274,12,60
642,51,467
618,25,333
615,9,460
769,32,866
967,83,332
655,61,610
682,54,324
65,91,548
740,68,755
445,75,551
155,11,235
994,6,761
680,80,762
143,61,718
891,65,307
910,51,230
686,69,596
990,31,582
514,91,414
968,86,511
855,80,751
632,35,85
774,73,596
990,85,58
810,67,247
432,37,903
66,81,234
879,12,786
402,10,346
567,9,598
451,60,359
47,19,962
289,15,635
804,45,754
49,37,377
66,40,510
6,36,90
454,18,692
167,11,71
835,72,457
635,24,876
424,42,430
716,85,76
897,36,521
232,49,49
908,82,597
900,58,494
764,67,635
239,27,756
900,65,870
430,55,86
946,95,954
745,72,542
719,26,787
923,42,489
586,9,746
410,78,120
675,29,455
862,44,225
973,63,75
75,80,742
283,81,477
686,49,998
223,29,647
869,85,61
651,20,270
970,34,504
789,51,25
760,48,890
551,84,337
474,98,909
917,24,345
904,21,136
905,53,213
529,44,868
718,71,810
762,76,47
556,34,863
647,46,30
133,40,644
134,25,662
821,89,540
689,47,271
396,89,512
303,98,646
784,69,245
773,12,85
825,74,388
661,34,410
682,61,84
612,3,881
136,95,153
158,1,807
579,50,770
142,6,515
315,26,743
907,65,775
521,72,189
206,6,51
91,69,12
892,53,940
59,82,955
998,66,780
234,65,174
807,39,307
102,2,519
445,98,764
412,4,882
471,67,499
680,88,114
135,78,798
847,88,326
346,26,865
150,71,779
208,59,273
482,44,559
856,92,530
266,64,770
678,37,768
816,93,226
775,56,848
409,70,899
756,57,453
448,55,999
726,38,475
169,44,448
403,42,959
610,66,270
57,93,589
686,49,379
933,95,4
369,50,830
555,85,328
118,10,667
937,18,230
90,62,881
298,95,753
404,44,263
989,45,568
131,16,375
150,18,943
850,22,424
251,65,994
304,62,848
71,14,865
513,34,658
43,83,773
219,92,17
940,15,356
304,73,214
89,42,607
587,15,294
903,61,775
620,49,122
640,2,899
876,59,96
65,19,938
824,3,979
769,89,523
432,21,381
737,74,762
678,84,674
321,17,335
947,9,85
789,55,492
612,20,914
806,72,230
396,91,590
638,79,134
434,60,140
501,60,969
469,53,712
644,100,641
463,40,110
576,97,825
371,7,520
38,18,836
830,8,318
180,92,527
123,32,782
335,11,72
105,98,355
387,76,642
666,92,698
150,6,861
289,57,396
848,21,490
918,66,782
397,50,147
626,62,938
506,14,676
429,29,666
502,51,133
244,74,19
636,9,314
464,52,116
688,46,126
347,71,461
933,74,704
543,47,476
610,9,630
845,54,379
86,64,693
456,2,854
727,25,24
106,6,939
517,36,274
422,47,512
280,88,367
378,19,815
315,47,346
878,2,659
28,79,914
357,36,8
53,78,686
208,51,862
688,64,641
669,87,38
987,5,376
57,82,470
623,52,89
46,48,735
612,68,138
536,51,502
511,28,806
686,2,818
562,3,183
753,6,510
223,74,786
147,52,99
67,51,452
12,45,439
380,78,312
878,73,129
621,100,809
748,64,985
853,95,256
472,51,973
404,25,176
390,29,639
324,64,740
382,37,857
641,26,148
235,37,535
11,78,715
263,75,151
273,1,951
648,91,488
516,79,722
848,76,412
352,17,690
688,24,353
142,77,889
954,24,101
495,100,876
706,67,614
867,24,362
447,83,688
380,12,365
702,46,591
178,87,71
23,73,177
476,79,354
310,80,167
76,98,173
720,31,909
631,3,618
648,96,951
214,30,185
270,7,526
164,43,363
765,41,72
867,97,360
374,26,129
564,48,690
521,12,149
740,93,509
37,13,714
251,81,812
784,75,349
770,45,639
851,21,578
736,28,777
166,41,814
540,73,236
668,69,772
849,8,898
794,75,172
464,87,983
549,97,186
104,87,527
389,24,94
670,55,716
567,44,403
135,4,557
584,10,344
35,10,2
831,27,519
630,75,745
269,6,504
47,22,259
989,91,233
939,100,51
403,2,405
738,98,716
922,65,489
795,98,173
505,91,907
323,57,308
6,100,215
822,72,127
209,95,716
702,15,514
82,15,360
266,75,25
710,17,402
977,1,907
106,24,893
227,27,212
729,86,591
990,44,443
317,48,827
519,72,735
987,45,673
887,59,510
992,84,687
91,85,644
628,81,695
916,87,28
964,23,881
663,95,745
246,91,944
996,41,476
368,25,692
59,54,566
587,56,201
551,50,116
764,30,13
524,40,984
945,42,615
351,58,128
967,21,866
308,70,809
834,11,646
258,46,555
467,40,485
121,50,925
418,26,698
714,60,927
767,56,629
346,55,285
672,70,3
386,85,557
302,88,251
98,78,869
231,4,304
991,48,107
570,19,747
790,93,915
231,54,397
899,71,674
470,95,808
655,67,604
901,93,741
602,56,455
288,10,444
22,46,535
730,34,221
788,51,931
961,9,434
833,53,353
674,64,796
320,35,829
841,72,195
774,71,380
5,35,155
679,20,638
449,35,482
71,89,41
380,64,573
578,23,702
79,77,820
130,51,147
586,29,758
891,13,415
646,44,653
366,5,81
631,30,839
189,74,970
822,78,980
629,51,354
702,17,684
627,31,515
119,26,705
289,12,800
86,18,218
91,16,529
986,31,788
185,51,602
53,10,853
727,48,188
310,52,101
760,90,644
976,13,152
757,69,392
110,22,240
794,59,467
806,29,489
430,8,931
247,33,10
402,14,878
491,22,380
789,5,585
932,41,335
318,28,694
124,83,875
35,80,897
255,79,687
621,38,734
862,99,693
413,94,275
705,4,60
321,93,419
670,67,840
850,40,458
386,38,926
646,41,424
906,91,953
693,88,547
633,60,167
176,91,775
566,92,654
822,2,178
644,1,519
660,78,250
503,74,11
772,55,525
435,99,764
842,7,483
220,77,53
545,79,231
110,79,972
823,45,282
966,65,309
790,58,72
527,98,603
23,67,284
851,88,433
591,15,184
263,12,773
921,70,372
260,41,232
649,87,835
488,100,499
192,11,495
586,33,906
911,33,929
86,39,553
791,78,893
715,67,254
900,54,636
852,5,68
707,51,944
87,99,379
841,56,918
722,17,75
538,46,577
439,18,835
90,17,79
665,41,165
268,98,94
721,63,472
160,37,858
796,78,187
568,47,408
923,88,506
56,9,296
956,94,694
566,74,425
752,76,93
257,13,34
949,34,301
4,29,461
642,23,923
983,74,582
459,76,832
275,40,425
402,35,703
900,18,751
369,65,267
139,2,19
564,26,672
272,98,423
857,36,24
225,96,568
452,64,409
120,84,34
67,33,802
609,72,508
621,26,297
983,55,161
542,96,47
274,63,944
651,52,999
251,73,267
365,65,720
582,67,534
574,24,263
889,83,758
124,61,574
572,59,35
887,59,903
591,68,385
103,42,731
795,88,208
566,60,696
67,80,981
150,47,375
923,93,452
309,23,436
431,23,518
176,93,770
634,46,944
245,95,531
444,59,499
469,53,610
712,48,786
890,50,814
786,89,901
748,95,174
242,8,429
371,31,847
653,92,504
519,46,771
623,91,21
372,62,622
513,56,871
27,26,336
995,75,455
541,45,806
224,68,937
602,70,706
982,68,221
409,58,954
511,19,5
202,100,226
27,43,347
357,6,84
135,39,591
658,42,550
292,79,368
501,30,735
74,64,843
664,2,119
127,35,521
205,78,539
396,31,950
904,8,872
778,13,706
557,26,912
988,70,834
380,99,686
133,99,855
86,62,569
677,30,156
585,58,140
365,68,146
236,25,498
360,74,771
494,58,790
257,15,62
658,35,804
265,57,521
383,75,73
680,81,488
226,73,392
112,60,992
665,56,992
545,13,11
302,51,294
987,8,32
582,48,853
840,39,739
244,66,94
449,31,612
926,78,790
933,72,945
584,80,794
206,30,546
966,52,828
351,11,410
22,83,651
865,55,626
296,1,347
765,80,952
220,21,837
246,34,10
66,55,429
933,40,919
161,50,112
76,26,758
417,65,310
828,16,199
753,66,226
472,87,359
386,67,997
39,73,682
357,4,661
808,66,762
952,8,685
581,52,79
424,99,881
72,6,454
954,61,830
643,73,353
859,68,83
798,20,276
882,24,263
648,99,546
221,93,82
3,13,310
153,14,244
883,25,566
931,49,871
171,6,365
358,29,880
396,25,262
947,47,526
102,66,349
155,85,75
764,69,211
708,56,805
364,44,694
936,81,2
175,50,710
579,32,808
885,78,597
315,11,740
102,44,978
578,85,432
161,13,997
672,5,479
679,36,266
143,69,769
861,34,876
550,14,346
235,75,84
813,12,709
524,69,367
724,45,391
863,77,817
626,61,467
283,62,964
161,58,257
830,34,483
911,48,187
791,3,148
554,84,731
315,71,430
193,27,518
763,9,371
1000,43,26
351,2,817
589,67,820
906,11,886
646,49,520
841,43,411
401,69,4
271,65,754
406,96,238
861,39,479
540,12,902
715,81,156
288,38,686
588,60,304
77,75,944
28,42,557
776,99,620
598,51,982
833,29,361
477,7,399
830,72,998
765,49,894
241,28,594
601,23,265
294,53,649
381,2,499
74,13,965
406,84,552
636,46,42
86,33,817
224,20,994
741,94,387
606,4,446
956,90,995
151,14,320
589,2,426
576,20,642
164,62,98
888,10,787
412,55,189
938,48,360
73,21,777
489,69,230
142,67,190
617,71,511
304,56,354
647,81,78
642,17,874
976,40,426
318,95,933
628,84,469
399,22,132
326,11,64
380,21,5
57,9,693
73,37,11
243,89,759
328,81,155
12,72,173
541,59,393
436,29,824
911,18,679
134,32,892
384,95,93
497,97,67
725,98,955
567,22,211
384,47,784
394,16,754
842,14,496
82,2,610
905,71,674
842,34,62
443,69,346
813,80,802
734,38,534
544,94,297
809,14,242
735,34,905
262,62,832
989,89,127
379,98,915
71,44,162
845,53,313
309,49,316
671,16,116
504,56,941
654,37,299
68,99,831
182,68,391
29,80,998
305,96,626
868,45,212
795,30,454
810,28,835
960,7,503
774,49,497
243,95,844
311,4,253
547,67,406
296,4,207
210,3,878
152,49,279
278,64,481
264,86,333
776,58,997
523,38,790
281,66,684
241,17,193
826,55,363
860,38,284
862,69,846
535,12,839
490,61,437
310,45,912
225,35,456
405,28,478
129,50,979
659,33,710
241,35,512
876,20,745
29,33,516
824,60,146
31,30,308
104,54,29
568,18,899
472,30,941
713,16,604
258,28,452
155,42,762
606,32,446
120,60,28
41,26,205
264,40,526
358,77,972
117,11,930
749,54,269
880,72,341
788,53,769
652,52,865
864,7,737
536,41,47
923,44,18
317,93,104
300,52,174
1000,14,211
475,77,236
394,7,62
723,88,613
606,2,540
82,92,531
366,71,199
765,31,110
394,46,952
638,67,289
57,100,810
847,17,2
493,18,440
121,32,863
70,70,594
646,27,123
131,35,982
635,46,301
131,74,655
898,50,445
501,53,77
350,80,947
319,39,644
966,98,973
970,96,90
903,36,593
613,17,952
119,92,67
569,90,366
524,1,855
29,23,609
219,54,891
949,74,351
991,84,736
141,85,570
100,30,782
260,46,499
466,87,277
144,60,929
919,16,432
929,37,253
895,79,652
792,59,758
769,55,997
51,65,507
785,8,504
657,6,756
933,14,94
539,70,773
573,63,294
22,77,526
11,95,961
343,23,738
984,97,552
412,97,639
837,27,132
907,74,994
999,43,78
263,94,657
307,10,455
758,55,87
146,71,354
268,7,531
155,50,497
720,77,701
950,53,539
626,72,852
461,66,131
706,18,30
699,62,460
932,5,485
374,80,464
102,23,36
916,94,196
207,56,971
713,86,687
267,11,139
792,86,764
353,69,473
918,79,701
252,26,506
277,65,132
351,10,866
446,99,303
639,91,763
707,50,186
417,92,152
6,17,407
204,36,905
53,47,544
638,84,120
319,71,122
673,39,988
56,64,744
122,2,892
72,49,475
509,13,54
679,75,803
73,58,966
113,79,909
357,63,701
86,31,926
85,30,223
765,20,764
368,3,891
535,76,125
304,9,271
721,17,69
574,26,694
552,65,969
304,20,215
561,24,354
238,93,431
342,80,237
635,77,350
451,59,161
137,6,842
218,34,448
344,62,190
611,91,653
219,66,453
949,47,764
155,85,939
391,15,484
588,44,616
694,15,214
907,89,978
592,3,202
691,91,279
398,100,665
597,42,395
338,68,95
281,77,324
943,23,127
397,25,881
501,98,629
395,79,611
324,85,725
377,67,877
868,95,502
471,12,512
23,7,651
554,2,683
921,33,250
54,73,430
400,47,567
927,81,45
137,57,257
498,54,8
773,39,279
321,69,881
327,95,35
55,32,565
556,96,107
306,75,131
393,16,116
985,75,557
232,5,828
195,34,946
107,18,449
429,71,105
984,78,769
194,11,85
573,9,606
772,68,598
393,39,856
755,5,437
341,21,711
562,19,208
472,48,278
626,82,671
842,42,343
877,7,607
772,79,918
685,25,226
606,33,842
881,89,675
284,90,110
399,59,181
774,25,150
77,40,863
542,2,435
470,75,852
87,96,991
481,3,140
859,42,438
371,91,25
129,55,956
400,55,683
93,59,941
467,72,414
476,67,7
564,46,427
95,18,49
78,23,498
332,69,551
617,2,671
419,57,82
958,14,331
56,7,588
682,81,777
705,62,377
491,96,247
964,56,536
840,36,460
3,57,635
872,21,931
364,88,887
109,28,583
289,39,72
627,10,992
711,74,840
226,40,450
603,6,458
188,34,779
260,2,388
52,82,659
459,54,663
978,68,548
279,67,575
124,93,372
809,54,444
311,2,478
757,52,916
866,37,551
98,99,457
924,94,453
89,8,991
569,40,62
255,44,854
333,25,372
847,68,236
668,26,419
422,17,461
875,63,239
36,14,219
757,10,274
244,21,934
229,24,86
274,5,396
697,51,422
886,17,896
345,27,697
342,84,439
913,72,479
170,99,756
754,10,160
773,30,134
18,47,279
520,58,918
904,26,34
30,3,935
172,25,978
35,35,240
476,59,850
997,79,539
835,45,908
646,87,883
180,52,52
65,96,727
288,87,606
832,18,756
453,55,890
891,48,701
826,74,423
173,62,396
48,41,108
344,12,258
72,22,713
289,23,58
477,94,59
973,54,837
812,50,205
590,2,868
994,35,195
658,90,689
961,74,88
781,91,219
803,58,41
966,10,742
176,14,819
291,8,430
599,79,312
205,43,392
342,34,781
780,76,594
985,60,423
151,54,271
290,78,170
548,90,951
576,94,419
929,47,63
417,31,854
738,69,202
136,37,613
59,14,581
925,82,124
821,60,14
451,51,321
379,47,911
629,1,811
415,82,495
830,11,763
526,42,955
816,94,869
132,52,473
825,77,496
484,23,190
380,43,936
448,65,408
244,9,121
619,54,890
33,16,204
839,68,359
643,21,18
344,34,930
888,36,567
273,11,207
940,16,17
799,47,331
244,28,773
971,55,771
64,98,473
264,42,254
585,27,52
308,40,317
798,4,759
658,45,545
621,73,854
113,55,201
254,31,977
708,67,687
919,100,897
365,82,721
367,76,956
6,22,282
493,12,457
267,95,474
283,88,53
211,84,481
854,19,527
26,71,834
516,84,362
624,95,520
844,77,389
770,39,316
512,59,377
346,72,165
985,98,879
309,62,230
732,55,84
481,74,734
926,30,618
677,92,319
735,8,443
